Depth (m), T (deg C), thetaI (-), thetaL (-), thetaT (-)
    0.929,   -0.9349,     0.2124,     0.2199,     0.4147
    0.931,   -0.9367,     0.2124,     0.2199,     0.4147
    0.933,   -0.9385,     0.2124,     0.2199,     0.4147
    0.935,   -0.9404,     0.2124,     0.2199,     0.4147
    0.937,   -0.9422,     0.2124,     0.2199,     0.4147
    0.939,   -0.9441,     0.2124,     0.2199,     0.4147
    0.941,   -0.9459,     0.2124,     0.2199,     0.4147
    0.943,   -0.9477,     0.2124,     0.2199,     0.4147
    0.945,   -0.9496,     0.2124,     0.2199,     0.4147
    0.947,   -0.9514,     0.2124,     0.2199,     0.4147
    0.949,   -0.9532,     0.2124,     0.2199,     0.4147
    0.951,   -0.9551,     0.2124,     0.2199,     0.4147
    0.953,   -0.9569,     0.2124,     0.2199,     0.4147
    0.955,   -0.9587,     0.2124,     0.2199,     0.4147
    0.957,   -0.9606,     0.2124,     0.2199,     0.4147
    0.959,   -0.9624,     0.2124,     0.2199,     0.4147
    0.961,   -0.9642,     0.2124,     0.2199,     0.4147
    0.963,   -0.9661,     0.2124,     0.2199,     0.4147
    0.965,   -0.9679,     0.2125,     0.2199,     0.4147
    0.967,   -0.9697,     0.2125,     0.2199,     0.4147
    0.969,   -0.9716,     0.2125,     0.2199,     0.4147
    0.971,   -0.9734,     0.2125,     0.2199,     0.4147
    0.973,   -0.9752,     0.2125,     0.2199,     0.4147
    0.975,   -0.9771,     0.2125,     0.2199,     0.4147
    0.977,   -0.9789,     0.2125,     0.2199,     0.4147
    0.979,   -0.9808,     0.2125,     0.2199,     0.4147
    0.981,   -0.9826,     0.2125,     0.2198,     0.4147
    0.983,   -0.9844,     0.2125,     0.2198,     0.4147
    0.985,   -0.9863,     0.2125,     0.2198,     0.4147
    0.987,   -0.9881,     0.2125,     0.2198,     0.4147
    0.989,   -0.9899,     0.2125,     0.2198,     0.4147
    0.991,   -0.9918,     0.2125,     0.2198,     0.4147
    0.993,   -0.9936,     0.2125,     0.2198,     0.4147
    0.995,   -0.9954,     0.2125,     0.2198,     0.4147
    0.997,   -0.9973,     0.2125,     0.2198,     0.4147
    0.999,   -0.9991,     0.2125,     0.2198,     0.4147
