Time (d), qI (mm/d), qT (mm/d), qR (mm/d), qB (mm/d), dS (mm/d)
    1.41,     3.000,     3.000,     0.000,     0.117,     2.883
    1.42,     3.000,     3.000,     0.000,     0.117,     2.883
    1.43,     3.000,     3.000,     0.000,     0.117,     2.883
    1.44,     3.000,     3.000,     0.000,     0.117,     2.883
    1.45,     3.000,     3.000,     0.000,     0.117,     2.883
    1.46,     3.000,     3.000,     0.000,     0.117,     2.883
    1.47,     3.000,     3.000,     0.000,     0.117,     2.883
    1.48,     3.000,     3.000,     0.000,     0.117,     2.883
    1.49,     3.000,     3.000,     0.000,     0.117,     2.883
    1.50,     3.000,     3.000,     0.000,     0.117,     2.883
    1.51,     3.000,     3.000,     0.000,     0.117,     2.883
    1.52,     3.000,     3.000,     0.000,     0.117,     2.883
    1.53,     3.000,     3.000,     0.000,     0.117,     2.883
    1.54,     3.000,     3.000,     0.000,     0.117,     2.883
    1.55,     3.000,     3.000,     0.000,     0.117,     2.883
    1.56,     3.000,     3.000,     0.000,     0.117,     2.883
    1.57,     3.000,     3.000,     0.000,     0.117,     2.883
    1.58,     3.000,     3.000,     0.000,     0.117,     2.883
    1.59,     3.000,     3.000,     0.000,     0.117,     2.883
    1.60,     3.000,     3.000,     0.000,     0.117,     2.883
    1.61,     3.000,     3.000,     0.000,     0.117,     2.883
    1.62,     3.000,     3.000,     0.000,     0.117,     2.883
    1.63,     3.000,     3.000,     0.000,     0.117,     2.883
    1.64,     3.000,     3.000,     0.000,     0.117,     2.883
    1.65,     3.000,     3.000,     0.000,     0.117,     2.883
    1.66,     3.000,     3.000,     0.000,     0.117,     2.883
    1.67,     3.000,     3.000,     0.000,     0.117,     2.883
    1.68,     3.000,     3.000,     0.000,     0.117,     2.883
    1.69,     3.000,     3.000,     0.000,     0.117,     2.883
    1.70,     3.000,     3.000,     0.000,     0.117,     2.883
    1.71,     3.000,     3.000,     0.000,     0.117,     2.883
    1.72,     3.000,     3.000,     0.000,     0.117,     2.883
    1.73,     3.000,     3.000,     0.000,     0.117,     2.883
    1.74,     3.000,     3.000,     0.000,     0.117,     2.883
    1.75,     3.000,     3.000,     0.000,     0.117,     2.883
    1.76,     3.000,     3.000,     0.000,     0.117,     2.883
    1.77,     3.000,     3.000,     0.000,     0.117,     2.883
    1.78,     3.000,     3.000,     0.000,     0.117,     2.883
    1.79,     3.000,     3.000,     0.000,     0.117,     2.883
    1.80,     3.000,     3.000,     0.000,     0.117,     2.883
    1.81,     3.000,     3.000,     0.000,     0.117,     2.883
    1.82,     3.000,     3.000,     0.000,     0.117,     2.883
    1.83,     3.000,     3.000,     0.000,     0.117,     2.883
    1.84,     3.000,     3.000,     0.000,     0.117,     2.883
    1.85,     3.000,     3.000,     0.000,     0.117,     2.883
    1.86,     3.000,     3.000,     0.000,     0.117,     2.883
    1.87,     3.000,     3.000,     0.000,     0.117,     2.883
    1.88,     3.000,     3.000,     0.000,     0.117,     2.883
    1.89,     3.000,     3.000,     0.000,     0.117,     2.883
    1.90,     3.000,     3.000,     0.000,     0.117,     2.883
    1.91,     3.000,     3.000,     0.000,     0.117,     2.883
    1.92,     3.000,     3.000,     0.000,     0.117,     2.883
    1.93,     3.000,     3.000,     0.000,     0.117,     2.883
    1.94,     3.000,     3.000,     0.000,     0.117,     2.883
    1.95,     3.000,     3.000,     0.000,     0.117,     2.883
    1.96,     3.000,     3.000,     0.000,     0.117,     2.883
    1.97,     3.000,     3.000,     0.000,     0.117,     2.883
    1.98,     3.000,     3.000,     0.000,     0.117,     2.883
    1.99,     3.000,     3.000,     0.000,     0.117,     2.883
    2.00,     3.000,     3.000,     0.000,     0.117,     2.883
    2.01,     3.000,     3.000,     0.000,     0.117,     2.883
    2.02,     3.000,     3.000,     0.000,     0.117,     2.883
    2.03,     3.000,     3.000,     0.000,     0.117,     2.883
    2.04,     3.000,     3.000,     0.000,     0.117,     2.883
    2.05,     3.000,     3.000,     0.000,     0.117,     2.883
