Time (d),      jTA (*),      jTC (*),      jBA (*),      jBC (*),      duL (*),      duS (*) * all units are kJ/m2/d
    1.12,         0.00,       560.52,        -0.49,         2.00,       331.24,       227.73,
    1.13,         0.00,       558.18,        -0.49,         2.09,       329.91,       226.63,
    1.14,         0.00,       555.87,        -0.49,         2.19,       328.60,       225.54,
    1.15,         0.00,       553.59,        -0.49,         2.29,       327.30,       224.46,
    1.16,         0.00,       551.35,        -0.49,         2.38,       326.03,       223.39,
    1.17,         0.00,       549.13,        -0.49,         2.49,       324.77,       222.33,
    1.18,         0.00,       546.95,        -0.49,         2.59,       323.52,       221.29,
    1.19,         0.00,       544.79,        -0.49,         2.70,       322.30,       220.25,
    1.20,         0.00,       542.67,        -0.49,         2.81,       321.09,       219.23,
    1.21,         0.00,       540.57,        -0.49,         2.92,       319.89,       218.21,
    1.22,         0.00,       538.49,        -0.49,         3.03,       318.71,       217.20,
    1.23,         0.00,       536.45,        -0.49,         3.15,       317.55,       216.21,
    1.24,         0.00,       534.42,        -0.49,         3.27,       316.39,       215.22,
    1.25,         0.00,       532.43,        -0.49,         3.39,       315.26,       214.24,
    1.26,         0.00,       530.45,        -0.49,         3.51,       314.13,       213.27,
    1.27,         0.00,       528.50,        -0.49,         3.64,       313.02,       212.31,
    1.28,         0.00,       526.58,        -0.49,         3.76,       311.92,       211.35,
    1.29,         0.00,       524.67,        -0.49,         3.89,       310.83,       210.41,
    1.30,         0.00,       522.79,        -0.49,         4.03,       309.75,       209.47,
    1.31,         0.00,       520.93,        -0.49,         4.16,       308.68,       208.54,
    1.32,         0.00,       519.09,        -0.49,         4.30,       307.63,       207.62,
    1.33,         0.00,       517.27,        -0.49,         4.44,       306.59,       206.70,
    1.34,         0.00,       515.47,        -0.49,         4.58,       305.56,       205.79,
    1.35,         0.00,       513.69,        -0.49,         4.72,       304.53,       204.89,
    1.36,         0.00,       511.93,        -0.49,         4.87,       303.52,       204.00,
    1.37,         0.00,       510.19,        -0.49,         5.01,       302.52,       203.11,
    1.38,         0.00,       508.47,        -0.49,         5.16,       301.53,       202.24,
    1.39,         0.00,       506.77,        -0.49,         5.31,       300.55,       201.36,
    1.40,         0.00,       505.08,        -0.49,         5.47,       299.58,       200.50,
    1.41,         0.00,       503.42,        -0.49,         5.62,       298.61,       199.64,
    1.42,         0.00,       501.77,        -0.49,         5.78,       297.66,       198.78,
    1.43,         0.00,       500.13,        -0.49,         5.94,       296.71,       197.93,
    1.44,         0.00,       498.52,        -0.49,         6.10,       295.78,       197.09,
    1.45,         0.00,       496.92,        -0.49,         6.27,       294.85,       196.26,
    1.46,         0.00,       495.33,        -0.49,         6.43,       293.93,       195.43,
    1.47,         0.00,       493.77,        -0.49,         6.60,       293.02,       194.60,
    1.48,         0.00,       492.21,        -0.49,         6.77,       292.12,       193.78,
    1.49,         0.00,       490.68,        -0.49,         6.94,       291.22,       192.97,
    1.50,         0.00,       489.15,        -0.49,         7.12,       290.34,       192.16,
    1.51,         0.00,       487.65,        -0.49,         7.29,       289.46,       191.36,
    1.52,         0.00,       486.15,        -0.49,         7.47,       288.59,       190.56,
    1.53,         0.00,       484.68,        -0.49,         7.64,       287.72,       189.77,
    1.54,         0.00,       483.21,        -0.49,         7.82,       286.86,       188.98,
    1.55,         0.00,       481.76,        -0.49,         8.01,       286.02,       188.20,
    1.56,         0.00,       480.33,        -0.49,         8.19,       285.17,       187.42,
    1.57,         0.00,       478.90,        -0.49,         8.37,       284.34,       186.65,
    1.58,         0.00,       477.49,        -0.49,         8.56,       283.51,       185.88,
    1.59,         0.00,       476.10,        -0.49,         8.75,       282.69,       185.12,
    1.60,         0.00,       474.71,        -0.49,         8.94,       281.87,       184.36,
    1.61,         0.00,       473.34,        -0.49,         9.13,       281.06,       183.61,
    1.62,         0.00,       471.98,        -0.49,         9.32,       280.26,       182.86,
    1.63,         0.00,       470.64,        -0.49,         9.52,       279.47,       182.11,
    1.64,         0.00,       469.30,        -0.49,         9.71,       278.68,       181.37,
    1.65,         0.00,       467.98,        -0.49,         9.91,       277.89,       180.63,
    1.66,         0.00,       466.67,        -0.49,        10.11,       277.12,       179.90,
    1.67,         0.00,       465.37,        -0.49,        10.31,       276.35,       179.17,
    1.68,         0.00,       464.08,        -0.49,        10.51,       275.58,       178.45,
    1.69,         0.00,       462.80,        -0.49,        10.71,       274.82,       177.73,
    1.70,         0.00,       461.53,        -0.49,        10.91,       274.07,       177.01,
    1.71,         0.00,       460.28,        -0.49,        11.12,       273.32,       176.30,
    1.72,         0.00,       459.03,        -0.49,        11.32,       272.58,       175.59,
    1.73,         0.00,       457.80,        -0.49,        11.53,       271.84,       174.89,
    1.74,         0.00,       456.58,        -0.49,        11.74,       271.11,       174.19,
    1.75,         0.00,       455.36,        -0.49,        11.95,       270.38,       173.49,
    1.76,         0.00,       454.16,        -0.49,        12.16,       269.66,       172.80,
