Depth (m), T (deg C), thetaI (-), thetaL (-), thetaT (-)
    0.929,   -0.9138,     0.2124,     0.2200,     0.4147
    0.931,   -0.9162,     0.2124,     0.2200,     0.4147
    0.933,   -0.9187,     0.2124,     0.2200,     0.4147
    0.935,   -0.9211,     0.2124,     0.2200,     0.4147
    0.937,   -0.9235,     0.2124,     0.2200,     0.4147
    0.939,   -0.9260,     0.2124,     0.2200,     0.4147
    0.941,   -0.9284,     0.2124,     0.2200,     0.4147
    0.943,   -0.9308,     0.2124,     0.2200,     0.4147
    0.945,   -0.9333,     0.2124,     0.2199,     0.4147
    0.947,   -0.9357,     0.2124,     0.2199,     0.4147
    0.949,   -0.9381,     0.2124,     0.2199,     0.4147
    0.951,   -0.9406,     0.2124,     0.2199,     0.4147
    0.953,   -0.9430,     0.2124,     0.2199,     0.4147
    0.955,   -0.9454,     0.2124,     0.2199,     0.4147
    0.957,   -0.9478,     0.2125,     0.2199,     0.4147
    0.959,   -0.9503,     0.2125,     0.2199,     0.4147
    0.961,   -0.9527,     0.2125,     0.2199,     0.4147
    0.963,   -0.9551,     0.2125,     0.2199,     0.4147
    0.965,   -0.9575,     0.2125,     0.2199,     0.4147
    0.967,   -0.9600,     0.2125,     0.2199,     0.4147
    0.969,   -0.9624,     0.2125,     0.2199,     0.4147
    0.971,   -0.9648,     0.2125,     0.2199,     0.4147
    0.973,   -0.9673,     0.2125,     0.2199,     0.4147
    0.975,   -0.9697,     0.2125,     0.2199,     0.4147
    0.977,   -0.9721,     0.2125,     0.2199,     0.4147
    0.979,   -0.9745,     0.2125,     0.2199,     0.4147
    0.981,   -0.9770,     0.2125,     0.2199,     0.4147
    0.983,   -0.9794,     0.2125,     0.2199,     0.4147
    0.985,   -0.9818,     0.2125,     0.2198,     0.4147
    0.987,   -0.9842,     0.2125,     0.2198,     0.4147
    0.989,   -0.9867,     0.2125,     0.2198,     0.4147
    0.991,   -0.9891,     0.2125,     0.2198,     0.4147
    0.993,   -0.9915,     0.2125,     0.2198,     0.4147
    0.995,   -0.9939,     0.2126,     0.2198,     0.4147
    0.997,   -0.9964,     0.2126,     0.2198,     0.4147
    0.999,   -0.9988,     0.2126,     0.2198,     0.4147
