Depth (m), T (deg C), thetaI (-), thetaL (-), thetaT (-)
    0.929,   -0.9124,     0.2124,     0.2200,     0.4147
    0.931,   -0.9148,     0.2124,     0.2200,     0.4147
    0.933,   -0.9173,     0.2124,     0.2200,     0.4147
    0.935,   -0.9198,     0.2124,     0.2200,     0.4147
    0.937,   -0.9222,     0.2124,     0.2200,     0.4147
    0.939,   -0.9247,     0.2124,     0.2200,     0.4147
    0.941,   -0.9272,     0.2124,     0.2200,     0.4147
    0.943,   -0.9297,     0.2124,     0.2200,     0.4147
    0.945,   -0.9321,     0.2124,     0.2200,     0.4147
    0.947,   -0.9346,     0.2124,     0.2199,     0.4147
    0.949,   -0.9371,     0.2124,     0.2199,     0.4147
    0.951,   -0.9395,     0.2124,     0.2199,     0.4147
    0.953,   -0.9420,     0.2124,     0.2199,     0.4147
    0.955,   -0.9445,     0.2124,     0.2199,     0.4147
    0.957,   -0.9470,     0.2125,     0.2199,     0.4147
    0.959,   -0.9494,     0.2125,     0.2199,     0.4147
    0.961,   -0.9519,     0.2125,     0.2199,     0.4147
    0.963,   -0.9544,     0.2125,     0.2199,     0.4147
    0.965,   -0.9568,     0.2125,     0.2199,     0.4147
    0.967,   -0.9593,     0.2125,     0.2199,     0.4147
    0.969,   -0.9618,     0.2125,     0.2199,     0.4147
    0.971,   -0.9642,     0.2125,     0.2199,     0.4147
    0.973,   -0.9667,     0.2125,     0.2199,     0.4147
    0.975,   -0.9692,     0.2125,     0.2199,     0.4147
    0.977,   -0.9716,     0.2125,     0.2199,     0.4147
    0.979,   -0.9741,     0.2125,     0.2199,     0.4147
    0.981,   -0.9766,     0.2125,     0.2199,     0.4147
    0.983,   -0.9790,     0.2125,     0.2199,     0.4147
    0.985,   -0.9815,     0.2125,     0.2199,     0.4147
    0.987,   -0.9840,     0.2125,     0.2198,     0.4147
    0.989,   -0.9864,     0.2125,     0.2198,     0.4147
    0.991,   -0.9889,     0.2125,     0.2198,     0.4147
    0.993,   -0.9914,     0.2125,     0.2198,     0.4147
    0.995,   -0.9938,     0.2126,     0.2198,     0.4147
    0.997,   -0.9963,     0.2126,     0.2198,     0.4147
    0.999,   -0.9988,     0.2126,     0.2198,     0.4147
