Depth (m), T (deg C), thetaI (-), thetaL (-), thetaT (-)
    0.929,   -0.9398,     0.2124,     0.2199,     0.4147
    0.931,   -0.9415,     0.2124,     0.2199,     0.4147
    0.933,   -0.9432,     0.2124,     0.2199,     0.4147
    0.935,   -0.9449,     0.2124,     0.2199,     0.4147
    0.937,   -0.9466,     0.2124,     0.2199,     0.4147
    0.939,   -0.9483,     0.2124,     0.2199,     0.4147
    0.941,   -0.9500,     0.2124,     0.2199,     0.4147
    0.943,   -0.9517,     0.2125,     0.2199,     0.4147
    0.945,   -0.9534,     0.2125,     0.2199,     0.4147
    0.947,   -0.9551,     0.2125,     0.2199,     0.4147
    0.949,   -0.9568,     0.2125,     0.2199,     0.4147
    0.951,   -0.9585,     0.2125,     0.2199,     0.4147
    0.953,   -0.9602,     0.2125,     0.2199,     0.4147
    0.955,   -0.9619,     0.2125,     0.2199,     0.4147
    0.957,   -0.9636,     0.2125,     0.2199,     0.4147
    0.959,   -0.9653,     0.2125,     0.2199,     0.4147
    0.961,   -0.9670,     0.2125,     0.2199,     0.4147
    0.963,   -0.9687,     0.2125,     0.2199,     0.4147
    0.965,   -0.9703,     0.2125,     0.2199,     0.4147
    0.967,   -0.9720,     0.2125,     0.2199,     0.4147
    0.969,   -0.9737,     0.2125,     0.2199,     0.4147
    0.971,   -0.9754,     0.2125,     0.2199,     0.4147
    0.973,   -0.9771,     0.2125,     0.2199,     0.4147
    0.975,   -0.9788,     0.2125,     0.2199,     0.4147
    0.977,   -0.9805,     0.2125,     0.2199,     0.4147
    0.979,   -0.9822,     0.2125,     0.2198,     0.4147
    0.981,   -0.9839,     0.2125,     0.2198,     0.4147
    0.983,   -0.9856,     0.2125,     0.2198,     0.4147
    0.985,   -0.9873,     0.2125,     0.2198,     0.4147
    0.987,   -0.9890,     0.2125,     0.2198,     0.4147
    0.989,   -0.9907,     0.2125,     0.2198,     0.4147
    0.991,   -0.9924,     0.2125,     0.2198,     0.4147
    0.993,   -0.9941,     0.2125,     0.2198,     0.4147
    0.995,   -0.9958,     0.2125,     0.2198,     0.4147
    0.997,   -0.9975,     0.2125,     0.2198,     0.4147
    0.999,   -0.9992,     0.2126,     0.2198,     0.4147
